Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,hourly,employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,same_state,age,python,java,r,spark,aws,excel,job_title_simple,seniority,desc_len
Software Developer,"$48K-$92K
(Glassdoor est.)","ImageSoft is a growing company centered around the mission of providing people better access to the justice system and bringing value to courts to better serve their community. We do this by writing and implementing meaningful software that pushes the government industry forward in both process and technology. To help us with our mission, ImageSoft is currently recruiting for a SOFTWARE DEVELOPER to work in our Southfield, MI office.
We are looking for a strong Software Developer who will be responsible for working in a team-based, Agile environment. On this team, you will be developing and supporting both the front and back-end of predominantly cloud-based .NET applications hosted on the Azure platform. You will also work with Documentation and QA specialists within the team to ensure a solid, polished product is released to our customers.
So, if you are a team player, a self-starter, a problem solver, and have a passion for our mission of pushing technology forward, we would love to talk to you!
What an ImageSoft Software Developer will do – Job Description:
Participate in architecting software solutions and mentor other developers throughout the process.
Triage software issues escalated by Support departments.
Apply ImageSoft Coding Standards and techniques to assure efficient program logic and data manipulation.
Manage time estimation of deliverables accurately through the duration of the Sprint, escalating any issues as needed to ensure Sprint tasks completed as planned.
Keep up to date with new technologies through independent research to include presenting results to peers.
Fully participate in Agile team retrospectives to provide recommendations for improving software and processes.
Participate in code reviews and promote best practices and standards.
What an ImageSoft Software Developer will have – Skills & Requirements:
5+ years of experience in software development with a strong understanding of design patterns and database architecture.
Experience with developing against SQL databases
Background in programming and debugging multitenant, cloud-based C# applications.
Experience with .NET Core.
Experience with current programming techniques, such as REST and MVC.
Experience working in Agile environments such as Scrum.
Team based attitude towards growth and achievement.
Pluses:
Experience architecting and using NoSql databases, such as Azure Cosmos DB or Mongo DB
Experience building specifically for Azure using PaaS: App Services, Functions, etc.
Experience with DevOps principles, CI/CD pipelines, automation, etc.
Experience with ORMs such as Entity Framework, Dapper, NHibernate, etc.
What an ImageSoft Software Developer will receive – Perks & Culture:
Medical, Dental, Vision coverage
Life Insurance
401K with company match
Modern work atmosphere
Supportive & Cohesive Teams
Fitness Center
PTO
Day Off for Volunteering
Community Service Opportunities
Employee Recognition and Celebration events
Cafeteria with complimentary snacks and beverages
Flexible and Fun work environment
Employee Referral Bonus
Telecommuting options (for applicable positions)",4.7,"ImageSoft Inc
4.7","Southfield, MI",-1,51 to 200 Employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1,0,0,48,92,70.0,ImageSoft Inc, MI,0,24,0,0,0,0,0,0,software developer,na,3108
Software Developer,"$67K-$125K
(Glassdoor est.)","Job Description

CACIs Business and Information Technology Solutions (BITS) Sector is seeking a Software Developer who will develop code, innovative design, and web applications and services from concept to completion.

More About the Role:

Your responsibilities will include the following:
Writing well-designed, testable, efficient code by utilizing best software development practices
Developing and implementing data-centric applications and/or services with a focus on building RESTful services to support the user interface (UI) and middle-tier
Implementing support for data connections
Collaborating to decompose requirements towards the development of detailed designs, key features, and enhancements
Performing and aligning results to specifications and requirements based on technical needs in an Agile team environment
Troubleshooting and resolving technical and non-technical issues
Creating and maintaining software documentation
Cooperating with project managers and content managers to provide continuous delivery for assigned systems

Youll Bring These Qualifications:
Current TS/SCI with Poly clearance
Demonstrated experience developing within an Agile environment
Demonstrated experience with Java development skills within the last three (3) years utilizing Spring
Demonstrated experience with SecDevOps processes and continuous delivery systems (e.g., Git, Jenkins, CloudWatch, Docker, etc.)
Demonstrated experience or certification in cloud technologies creating self-healing and auto-scaling systems
Demonstrated experiences in web development, such as JavaScript and JSON
Demonstrated experience developing micro-services architecture
Experience utilizing infrastructure as code practices
Familiarity with three (3) or more of the following technologies:
Node.js
TypeScript
Maven
NPM
Java
JavaScript
Angular 7+
REST APIs
Working knowledge of modern coding practices, including development methodologies, test-driven development, continuous integration, and proper code documentation
Ability to participate in the full Software Development Life Cycle (SDLC), including gathering specifications, analysis, design, development, quality assurance (QA), and testing and debugging
Ability to work and thrive in a fast-paced environment, learn rapidly, and master diverse web technologies and techniques
Excellent verbal and written communication skills and strong analytical and problem-solving skills

Candidate must have one of the following:
12 Years of job-related experience and High School/GED diploma
10 Years of job-related experience and Associates degree
8 Years of job-related experience and Bachelors degree
6 Years of job-related experience and Masters degree
4 Years of job-related experience and Doctorate

These Qualifications Would be Nice to Have:
Experience with front-end and back-end development
Experience with Node.js
Experience with Java
Experience with Elasticsearch
Experience with Remote Desktop Services (RDS)
BITS3

Job Location

US-Fairfax-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.6,"CACI International Inc
3.6","Fairfax, VA",-1,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1,0,0,67,125,96.0,CACI International Inc, VA,0,58,0,1,0,0,0,1,software developer,na,3564
Software Developer (Loan Origination),"$35K-$67K
(Glassdoor est.)","Software Developers are responsible for the analysis and design, development and testing of upgrades and new development to systems. In addition, Software Developer will assist with planning, requirements, and migration activities to upgrade / modernize existing systems to more current programming languages. Youll have the unique opportunity to build critical product features and infrastructure while shaping the direction of the future.

Requirements & Responsibilities:
Demonstrated experience in object oriented and procedural programming concepts is desired
Preferred candidate would have experience in at least one of the following industries: financial, accounting, or lending is desired
Must be experienced with the various stages of the System Development Life Cycle including, but not limited to: development, design, programming, analysis, testing, implementation and documentation.
Must be able to effectively implement ideas and reasoning into the program code.
Must be able to document code through comments and/or other documentation including User Manual updates.
Must have the ability to analyze problems, troubleshoot, and make decisions in the best interest of the company to minimize downtime.
Must be organized, diligent and innovative in management of projects and tasks.
Desire to change quickly with the needs of a growing company
Great communication skills and the ability to work effectively with a spectrum of personalities, as well as excellent listening skills
Superb attention to detail and organizational skills
Self-starter with ability to identify needs and areas of impact, as well as potential solutions
Team player who works well under pressure, and is flexible in the face of changing priorities and needs
Strong prioritization skills and a track record of consistently going above and beyond with outside-the-box thinking
Intermediate computer skills with working knowledge of Windows applications
Incredibly bright individual who works well under pressure and has a passion to learn and contribute
Employment Term: Regular

Employment Type: Full Time

Hours per Week: 40+

Salary: Based on experience - Competitive Compensation Package

Work Hours (i.e. shift): Monday - Friday 8-5PM - Flexible hours

Full Benefits Package including: Medical, Dental, Vision, Group Life Insurance Plan, 401K with Company match, Short-Term Disability, Long-Term Disability, Paid-Time-Off and much more!

Casual for Cause - At Aqua Finance, casual day can be every day. We have used the perk to dress casual to help raise money for a variety of charities. https://www.aquafinance.com/who-we-are/news-events/casual-for-a-cause-q1-2016/

#ZR",3.6,"Aqua Finance, Inc.
3.6","Wausau, WI",-1,201 to 500 Employees,1985,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1,0,0,35,67,51.0,"Aqua Finance, Inc.", WI,0,35,0,0,0,0,0,1,software developer,na,2662
Engineering Software Developer,"$38K-$82K
(Glassdoor est.)","PURPOSE OF POSITION: To assist in the software design and development in support of the Engineering department’s mission. This mission includes Engineering design programs, databases, SAP ERP, websites, and Computer Aided Design (CAD) software in the design and analysis of centrifugal slurry pumps.

DUTIES AND RESPONSIBILITIES

1. Assists in the development of engineering calculation programs in support of department’s mission.

2. Assists in the development of software to manage engineering database information system.

3. Assists in the development of validation programs to validate and correct engineering data-base systems.

4. Assists in the development of websites to display engineering information.

5. Assists in the development of software to integrate the information between disparate systems.

6. Assists in the development of software to automate repetitive engineering procedures and/or workflows.

7. Creates and maintains software, system, and information technology procedural documentation.

8. Provides Engineering IT Manager with research, problem solving and new information technology implementation.

9. Provides software training for department’s employees as needed.

KNOWLEDGE AND EXPERIENCE (minimum required):

EDUCATION: Four-year college degree in the disciplines of Engineering, Physics, Mathematics or Computer Science with emphasis in mathematics.

EXPERIENCE: Six months to 2 years of experience in software development with object oriented programming with Microsoft .NET software programming (C#, VB.NET) or SQL Server (T-SQL) or website development. In addition, experience in current Microsoft operating systems and Microsoft Office products.

EOE / AAP / DFWP",3.1,"GIW Industries, Inc
3.1","Grovetown, GA",-1,201 to 500 Employees,1891,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,0,0,38,82,60.0,"GIW Industries, Inc", GA,0,129,0,0,0,0,0,0,software developer,na,1706
Full Stack Developer (core .net focused),"$49K-$90K
(Glassdoor est.)","Overview


Datascan is a provider of wholesale and audit intelligence in the automotive industry. Datascan’s solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits. All of our solutions are web-based and delivered from our state-of-the-art DataScan-managed data centers.

Job Description

About DataScan


Our solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits. All of our solutions are web-based and are currently delivered from our data centers.

To learn more about our products: https://vimeo.com/251178810

About the opportunity


We are looking for a highly motivated and energetic Software Developer to help build our next generation enterprise web applications. These applications will be modern, cloud centric solutions.

The ideal candidate will be a mid-level, full stack Software Developer that can apply subject matter knowledge to solve complex technology and business issues. The candidate will possess extraordinary attention to detail and excellent technical and communication skills. He/she will possess the desire and ability to develop and own technical and functional knowledge of application components and will be comfortable seamlessly working on front-end and back-end technologies.

Responsibilities
Analyzes design and determines coding, programming, and integration activities required based on general objectives and knowledge of overall architecture of product or solution.
Identifies, debugs, and creates solutions for issues with code and integrates them into application architecture.
Creates documentation for the assigned portion of the application.
Collaborate with peers, junior engineers, technicians and design partners.
Typically interacts with high-level individual contributors, managers and product management.
Actively seeks input from senior developers to validate code.
Provides guidance and mentoring to less-experienced staff members.
Frequently hits commitments according to the agreed upon timeframe, but otherwise provides clear and detailed communication if a technological roadblock prevents this.
Consistently meets development culture guidelines and standards.
Provides high quality work to QA that includes written and verbal communication describing the solution.
Can work independently and finds a good balance between collaboration and working independently. Ask good questions and then demonstrate the ability to think through a problem and plan for a solution.
Aligns with company direction, uses domain knowledge and company strategy to provide a robust scalable solution.
Produces a volume of work that is consistent with that of peers.
Personal Qualities
You thrive when developing great products and software solutions.
You have previous experience developing enterprise applications.
You care about agile software processes, test-driven development and reliability.
You’re familiar with the industry trends and keep up with the latest product offerings, and can understand the trade-offs of existing solutions.
You have experience working in fast-paced, small teams and startups.
You have the ability to work collaboratively to get results.
You have excellent interpersonal skills, and a good team player.
You possess strong problem solving, analytical, and quantitative skills.
You have effective verbal and written communication skills with diverse audiences.
Job Requirements

Required Qualifications
Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent.
Experience developing high-quality applications using .Net and Microsoft technologies.
Preferred Qualifications
2+ years experience with .NET Core.
3-6 years experience with .Net Framework.
3-6 years experience using Microsoft SQL Server technology and/or AWS RDS.
3+ years experience with Entity Framework or other ORM tools.
3-6 years experience with JavaScript or JavaScript Frameworks (such as Angular, React).
Proven experience in creating Web APIs (RESTful or otherwise).
Experience creating secure applications that handle Personally Identifiable Information (PII).
Experience developing Microservices a plus.
Experience with Cloud Development a plus (Azure, AWS, etc).
Experience with Docker a plus.
Experience with Kubernetes a plus.
Knowledge of SAML and OAuth2 security protocols a plus.
#LI-KN1

#WeDoITBetter",3.2,"DataScan Technologies, LLC
3.2","Alpharetta, GA",-1,201 to 500 Employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1,0,0,49,90,69.5,"DataScan Technologies, LLC", GA,0,-1,0,1,0,0,1,1,na,na,4662
Software Developer,"$47K-$84K
(Glassdoor est.)","Contractor Nation in Seymour, Connecticut is seeking a talented in-house software developer to help create revolutionary home improvement apps. As a software developer at Contractor Nation, you will be providing support for our applications, expanding upon existing tools, and creating entirely new software.
Candidates will work with a small team on all parts of the development life cycle; including design, implementation, testing, and deployment.
Our ideal candidate is motivated, an active learner, and enjoys trying to solve challenging problems.
We currently have applications running on PHP, Java, Python, and Node.js, but a deep understanding of any other object-oriented programming language is just as valuable to us.
Skills & Requirements
BS in Computer Science or equivalent experience
Experience with shell and other CLI tools
Experience querying relational or NoSQL databases in complex ways
Experience writing deployed, distributed applications
Excellent written and verbal communication skills
2+ years of industry experience
About Us
We are a team of software developers that specialize in building custom software for ourselves and our clients throughout the home improvement industry.
We have won over 24 innovation prizes, multiple business ethics awards from the Better Business Bureau, and a Tech Top 40 award. We were also awarded the Top 10 Best Places to Work in Connecticut for the last 5 years in a row by Hearst Media. The owner was selected as Business Person of the Year by Business New Haven and as Small Business Person of the Year with the Small Business Association (SBA).
This is a great opportunity for a software developer that wants to be part of a team in a fast-growing, fast-paced team. We offer a unique and creative atmosphere, a casual work environment, and a competitive salary.",3.2,"Basement Systems, Inc.
3.2","Seymour, CT",-1,201 to 500 Employees,1987,Company - Private,Construction,"Construction, Repair & Maintenance",$50 to $100 million (USD),-1,0,0,47,84,65.5,"Basement Systems, Inc.", CT,0,33,1,1,0,0,0,1,software developer,na,1824
Android Software Engineer/Developer,"Employer Provided Salary:
$98K-$121K","An automotive OEM in the metro Detroit area is seeking an Android Developer to work with current and future products.


The Software Engineer will be responsible for application development and support including story elaboration, estimation, analysis, design, programming, unit/integration testing and code debugging leveraging the Scrum framework. This person will work in a highly collaborative, cross-functional, and Agile environment and will assume a lead role for various practices and decisions.



Experience with Android UI design (including custom views)
* Experience writing Android clients for Web Services (REST, RPC, and/or SOAP)
* Experience with Android Activities and Fragments
* Experience with multi-threaded development on Android platforms
* Firm understanding of Intents, ContentProviders, Services, BroadcastReceivers, AsyncTask, Handlers and AIDL
* Experience with SQL Lite on Android
* Proven experience with object-oriented design and design patterns",3.4,"Aerotek
3.4",Remote,-1,5001 to 10000 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1,0,1,98,121,109.5,Aerotek,Remote/None,0,37,0,0,0,0,0,0,software engineer,na,977
Software Developer Talent Network - .NET and ETL,"$56K-$97K
(Glassdoor est.)","Our Information Services teams work with new technologies, designing and implementing highly-scalable, complex integrations that improve usability and increase performance. We utilize .Net (C#) and Angular to build our web applications, Informatica for our ETL work, SQL Server for our databases and Azure as our cloud platform. Youll find opportunities rather than boundaries at Blue! We are focused on serving our customers, acting as trusted partners who deliver high-quality, effective solutions. We are positive, collaborative, committed, engaged and fun.

If our current developer opportunities dont align with where you want your future to take you, wed love to keep in touch through our Talent Network.

Heres how it works:
Tell us a little about yourself by sharing your career experience and aspirations through this form. We promise its super easy and you can update it whenever youd like.
Well keep your info on hand and reach out to you about any potential opportunities that may spark your interest.
If youre interested in what we send you, well invite you to submit a formal application* for the role and go from there!
We love hearing from talented individualslike you!with a variety of backgrounds and look forward to learning more about what a career might look like for you at BCBSNE.

*Joining our Talent Network by completing the form does not constitute a formal application. If we find a position thats a good fit for you, well invite you to formally apply. Doing so will make you a formal applicant for the role.",3.7,"Blue Cross and Blue Shield of Nebraska
3.7","Omaha, NE",-1,1001 to 5000 Employees,1939,Company - Private,Insurance Carriers,Insurance,$1 to $5 million (USD),-1,0,0,56,97,76.5,Blue Cross and Blue Shield of Nebraska, NE,0,81,0,0,0,1,0,0,software developer,na,1536
Engineering Design Software Developer,"$45K-$80K
(Glassdoor est.)","PURPOSE OF POSITION: The design and development of software to support the Engineering department’s mission of slurry pump product development and R&D. This includes programs used for pump selection and system analysis, pump mechanical design, pump and pipeline performance, and associated databases.

Technology

Primarily working with Windows desktop application development using .NET Framework, leveraging C# and F#

Scripting is primarily done in Python or Bash

Some research projects leverage CentOS SLURM cluster

Most Linux servers and resources are Debian-based

Duties and Responsibilities

Develops new and upgrades existing desktop applications for engineering calculations in support of department’s mission.

Creates and maintains software, system, and procedural documentation.

Provides Engineering IT Manager with research, problem solving, and general assistance.

Develops software/scripts to integrate the information between disparate systems.

Develops software/scripts to automate repetitive engineering procedures and/or workflows.

Develops software/scripts to manage and validate engineering database information system.

Develops websites or software for the display and transformation of engineering data.

Assists in minor server and database administration tasks for managing engineering data.

Provides software training for department’s employees as needed.

Knowledge and Experience (minimum required):

Education: Four-year college degree in the disciplines of Computer Science, Engineering, Physics, or Mathematics with emphasis in Computer Science.

Experience: 3 to 5 years of experience in software development with object oriented programming and experience in C# or Java. College project-based experience is considered as well. Preferably familiar with C# and a functional language (F#, Scala, Haskell, etc). Additional experience with web development, SQL databases, and some systems-level programming is useful. Experience with mechanical engineering calculations is desired but not required. Exposure to Linux servers and clusters is desired but not required.",3.1,"GIW Industries, Inc
3.1","Grovetown, GA",-1,201 to 500 Employees,1891,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1,0,0,45,80,62.5,"GIW Industries, Inc", GA,0,129,1,1,0,0,0,0,software developer,na,2103
.Net Full Stack Senior Software Developer,"$57K-$101K
(Glassdoor est.)",".Net Full Stack Senior Software Developer

Zix-AppRiver is an amazing Company that has more than doubled in size in the last 3 years and will double again by 2023. Were adding to our position as a leading Cybersecurity company that values phenomenal service and solutions.

With recent acquisitions adding to our strong foundation, Zix-AppRiver now offers a complete suite of productivity and email data protection solutions. These include Microsoft Cloud productivity services, gold standard email encryption, email DLP, advanced threat protection, archiving and endpoint protection. We have new leadership, new solutions, new partners and new energy and were looking for new people to add to our growth.

We are looking for a Senior Software Developer for a full-time career opportunity. This challenging technical position will be on a development team working aboard one of our SAFe Agile Release Trains. The train is made up of teams providing business value through implementing product enhancements and new functionality along with platform and infrastructure updates allowing us to continue our movement to a more streamlined CI/CD pipeline. You can anticipate working with new, modern, cutting edge technologies while working along-side others eager to learn and create new, cutting-edge solutions.

What we are looking for:

5+ years of experience writing code
Strong debugging, analytical and problem-solving skills
Extensive C#.NET experience
Understanding of .Net Core WebAPI
Understanding of Web architecture principles including REST and HTTP caching
Understanding of database technologies including SQL and MongoDB
Knowledge of architecture styles including the microservices architecture and Domain-Driven Design
Excellent organizational skills
We expect you to have a great deal of technical expertise, a wealth of good ideas, and the ability to communicate and champion those ideas effectively
Where we are going:

Azure hosted microservices
Standardized REST APIs
CI/CD Pipelines leveraging Kubernetes orchestration with Containers (Docker)
Service Bus Architectures and Enterprise Caching
Asynchronous, reactive systems
What you can expect:

Agile, Self-managed, Self-organized, Diverse teams
Impressively Gifted Individuals Across the Entire Enterprise
Important Work / Life Balance Company Philosophy
Flexible Work Arrangements
A Distributed DevOps Department Philosophy
Strong focus on Automated Testing
Department that is Committed to Personal Growth and Education
Open Communication and Cross-Department Collaborations
Exposure to many Cutting-Edge Technologies
Heavily Team-Oriented Department
Come and join us as a security technology leader and help us develop the future of secure cloud computing!

All positions require a criminal background screening.",3.5,"AppRiver
3.5","Atlanta, GA",-1,501 to 1000 Employees,2002,Company - Public,IT Services,Information Technology,$100 to $500 million (USD),-1,0,0,57,101,79.0,AppRiver, GA,0,18,0,0,0,0,0,1,software developer,senior,2783
