,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Software Developer,"$48K-$92K
(Glassdoor est.)","ImageSoft is a growing company centered around the mission of providing people better access to the justice system and bringing value to courts to better serve their community. We do this by writing and implementing meaningful software that pushes the government industry forward in both process and technology. To help us with our mission, ImageSoft is currently recruiting for a SOFTWARE DEVELOPER to work in our Southfield, MI office.
We are looking for a strong Software Developer who will be responsible for working in a team-based, Agile environment. On this team, you will be developing and supporting both the front and back-end of predominantly cloud-based .NET applications hosted on the Azure platform. You will also work with Documentation and QA specialists within the team to ensure a solid, polished product is released to our customers.
So, if you are a team player, a self-starter, a problem solver, and have a passion for our mission of pushing technology forward, we would love to talk to you!
What an ImageSoft Software Developer will do – Job Description:
Participate in architecting software solutions and mentor other developers throughout the process.
Triage software issues escalated by Support departments.
Apply ImageSoft Coding Standards and techniques to assure efficient program logic and data manipulation.
Manage time estimation of deliverables accurately through the duration of the Sprint, escalating any issues as needed to ensure Sprint tasks completed as planned.
Keep up to date with new technologies through independent research to include presenting results to peers.
Fully participate in Agile team retrospectives to provide recommendations for improving software and processes.
Participate in code reviews and promote best practices and standards.
What an ImageSoft Software Developer will have – Skills & Requirements:
5+ years of experience in software development with a strong understanding of design patterns and database architecture.
Experience with developing against SQL databases
Background in programming and debugging multitenant, cloud-based C# applications.
Experience with .NET Core.
Experience with current programming techniques, such as REST and MVC.
Experience working in Agile environments such as Scrum.
Team based attitude towards growth and achievement.
Pluses:
Experience architecting and using NoSql databases, such as Azure Cosmos DB or Mongo DB
Experience building specifically for Azure using PaaS: App Services, Functions, etc.
Experience with DevOps principles, CI/CD pipelines, automation, etc.
Experience with ORMs such as Entity Framework, Dapper, NHibernate, etc.
What an ImageSoft Software Developer will receive – Perks & Culture:
Medical, Dental, Vision coverage
Life Insurance
401K with company match
Modern work atmosphere
Supportive & Cohesive Teams
Fitness Center
PTO
Day Off for Volunteering
Community Service Opportunities
Employee Recognition and Celebration events
Cafeteria with complimentary snacks and beverages
Flexible and Fun work environment
Employee Referral Bonus
Telecommuting options (for applicable positions)",4.7,"ImageSoft Inc
4.7","Southfield, MI",-1,51 to 200 Employees,1996,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),-1
1,Software Developer,"$67K-$125K
(Glassdoor est.)","Job Description

CACIs Business and Information Technology Solutions (BITS) Sector is seeking a Software Developer who will develop code, innovative design, and web applications and services from concept to completion.

More About the Role:

Your responsibilities will include the following:
Writing well-designed, testable, efficient code by utilizing best software development practices
Developing and implementing data-centric applications and/or services with a focus on building RESTful services to support the user interface (UI) and middle-tier
Implementing support for data connections
Collaborating to decompose requirements towards the development of detailed designs, key features, and enhancements
Performing and aligning results to specifications and requirements based on technical needs in an Agile team environment
Troubleshooting and resolving technical and non-technical issues
Creating and maintaining software documentation
Cooperating with project managers and content managers to provide continuous delivery for assigned systems

Youll Bring These Qualifications:
Current TS/SCI with Poly clearance
Demonstrated experience developing within an Agile environment
Demonstrated experience with Java development skills within the last three (3) years utilizing Spring
Demonstrated experience with SecDevOps processes and continuous delivery systems (e.g., Git, Jenkins, CloudWatch, Docker, etc.)
Demonstrated experience or certification in cloud technologies creating self-healing and auto-scaling systems
Demonstrated experiences in web development, such as JavaScript and JSON
Demonstrated experience developing micro-services architecture
Experience utilizing infrastructure as code practices
Familiarity with three (3) or more of the following technologies:
Node.js
TypeScript
Maven
NPM
Java
JavaScript
Angular 7+
REST APIs
Working knowledge of modern coding practices, including development methodologies, test-driven development, continuous integration, and proper code documentation
Ability to participate in the full Software Development Life Cycle (SDLC), including gathering specifications, analysis, design, development, quality assurance (QA), and testing and debugging
Ability to work and thrive in a fast-paced environment, learn rapidly, and master diverse web technologies and techniques
Excellent verbal and written communication skills and strong analytical and problem-solving skills

Candidate must have one of the following:
12 Years of job-related experience and High School/GED diploma
10 Years of job-related experience and Associates degree
8 Years of job-related experience and Bachelors degree
6 Years of job-related experience and Masters degree
4 Years of job-related experience and Doctorate

These Qualifications Would be Nice to Have:
Experience with front-end and back-end development
Experience with Node.js
Experience with Java
Experience with Elasticsearch
Experience with Remote Desktop Services (RDS)
BITS3

Job Location

US-Fairfax-VA-VIRGINIA SUBURBAN

CACI employs a diverse range of talent to create an environment that fuels innovation and fosters continuous improvement and success. At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is proud to provide dynamic careers for employees worldwide. CACI is an Equal Opportunity Employer - Females/Minorities/Protected Veterans/Individuals with Disabilities.",3.6,"CACI International Inc
3.6","Fairfax, VA",-1,10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),-1
2,Software Developer (Loan Origination),"$35K-$67K
(Glassdoor est.)","Software Developers are responsible for the analysis and design, development and testing of upgrades and new development to systems. In addition, Software Developer will assist with planning, requirements, and migration activities to upgrade / modernize existing systems to more current programming languages. Youll have the unique opportunity to build critical product features and infrastructure while shaping the direction of the future.

Requirements & Responsibilities:
Demonstrated experience in object oriented and procedural programming concepts is desired
Preferred candidate would have experience in at least one of the following industries: financial, accounting, or lending is desired
Must be experienced with the various stages of the System Development Life Cycle including, but not limited to: development, design, programming, analysis, testing, implementation and documentation.
Must be able to effectively implement ideas and reasoning into the program code.
Must be able to document code through comments and/or other documentation including User Manual updates.
Must have the ability to analyze problems, troubleshoot, and make decisions in the best interest of the company to minimize downtime.
Must be organized, diligent and innovative in management of projects and tasks.
Desire to change quickly with the needs of a growing company
Great communication skills and the ability to work effectively with a spectrum of personalities, as well as excellent listening skills
Superb attention to detail and organizational skills
Self-starter with ability to identify needs and areas of impact, as well as potential solutions
Team player who works well under pressure, and is flexible in the face of changing priorities and needs
Strong prioritization skills and a track record of consistently going above and beyond with outside-the-box thinking
Intermediate computer skills with working knowledge of Windows applications
Incredibly bright individual who works well under pressure and has a passion to learn and contribute
Employment Term: Regular

Employment Type: Full Time

Hours per Week: 40+

Salary: Based on experience - Competitive Compensation Package

Work Hours (i.e. shift): Monday - Friday 8-5PM - Flexible hours

Full Benefits Package including: Medical, Dental, Vision, Group Life Insurance Plan, 401K with Company match, Short-Term Disability, Long-Term Disability, Paid-Time-Off and much more!

Casual for Cause - At Aqua Finance, casual day can be every day. We have used the perk to dress casual to help raise money for a variety of charities. https://www.aquafinance.com/who-we-are/news-events/casual-for-a-cause-q1-2016/

#ZR",3.6,"Aqua Finance, Inc.
3.6","Wausau, WI",-1,201 to 500 Employees,1985,Company - Private,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD),-1
3,Engineering Software Developer,"$38K-$82K
(Glassdoor est.)","PURPOSE OF POSITION: To assist in the software design and development in support of the Engineering department’s mission. This mission includes Engineering design programs, databases, SAP ERP, websites, and Computer Aided Design (CAD) software in the design and analysis of centrifugal slurry pumps.

DUTIES AND RESPONSIBILITIES

1. Assists in the development of engineering calculation programs in support of department’s mission.

2. Assists in the development of software to manage engineering database information system.

3. Assists in the development of validation programs to validate and correct engineering data-base systems.

4. Assists in the development of websites to display engineering information.

5. Assists in the development of software to integrate the information between disparate systems.

6. Assists in the development of software to automate repetitive engineering procedures and/or workflows.

7. Creates and maintains software, system, and information technology procedural documentation.

8. Provides Engineering IT Manager with research, problem solving and new information technology implementation.

9. Provides software training for department’s employees as needed.

KNOWLEDGE AND EXPERIENCE (minimum required):

EDUCATION: Four-year college degree in the disciplines of Engineering, Physics, Mathematics or Computer Science with emphasis in mathematics.

EXPERIENCE: Six months to 2 years of experience in software development with object oriented programming with Microsoft .NET software programming (C#, VB.NET) or SQL Server (T-SQL) or website development. In addition, experience in current Microsoft operating systems and Microsoft Office products.

EOE / AAP / DFWP",3.1,"GIW Industries, Inc
3.1","Grovetown, GA",-1,201 to 500 Employees,1891,Subsidiary or Business Segment,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),-1
4,Full Stack Developer (core .net focused),"$49K-$90K
(Glassdoor est.)","Overview


Datascan is a provider of wholesale and audit intelligence in the automotive industry. Datascan’s solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits. All of our solutions are web-based and delivered from our state-of-the-art DataScan-managed data centers.

Job Description

About DataScan


Our solutions are the most comprehensive in the industry, providing banks, independent finance companies, and captive financial institutions with clarity critical to their success – helping them manage risk while increasing productivity and profits. All of our solutions are web-based and are currently delivered from our data centers.

To learn more about our products: https://vimeo.com/251178810

About the opportunity


We are looking for a highly motivated and energetic Software Developer to help build our next generation enterprise web applications. These applications will be modern, cloud centric solutions.

The ideal candidate will be a mid-level, full stack Software Developer that can apply subject matter knowledge to solve complex technology and business issues. The candidate will possess extraordinary attention to detail and excellent technical and communication skills. He/she will possess the desire and ability to develop and own technical and functional knowledge of application components and will be comfortable seamlessly working on front-end and back-end technologies.

Responsibilities
Analyzes design and determines coding, programming, and integration activities required based on general objectives and knowledge of overall architecture of product or solution.
Identifies, debugs, and creates solutions for issues with code and integrates them into application architecture.
Creates documentation for the assigned portion of the application.
Collaborate with peers, junior engineers, technicians and design partners.
Typically interacts with high-level individual contributors, managers and product management.
Actively seeks input from senior developers to validate code.
Provides guidance and mentoring to less-experienced staff members.
Frequently hits commitments according to the agreed upon timeframe, but otherwise provides clear and detailed communication if a technological roadblock prevents this.
Consistently meets development culture guidelines and standards.
Provides high quality work to QA that includes written and verbal communication describing the solution.
Can work independently and finds a good balance between collaboration and working independently. Ask good questions and then demonstrate the ability to think through a problem and plan for a solution.
Aligns with company direction, uses domain knowledge and company strategy to provide a robust scalable solution.
Produces a volume of work that is consistent with that of peers.
Personal Qualities
You thrive when developing great products and software solutions.
You have previous experience developing enterprise applications.
You care about agile software processes, test-driven development and reliability.
You’re familiar with the industry trends and keep up with the latest product offerings, and can understand the trade-offs of existing solutions.
You have experience working in fast-paced, small teams and startups.
You have the ability to work collaboratively to get results.
You have excellent interpersonal skills, and a good team player.
You possess strong problem solving, analytical, and quantitative skills.
You have effective verbal and written communication skills with diverse audiences.
Job Requirements

Required Qualifications
Bachelor's or Master's degree in Computer Science, Information Systems, or equivalent.
Experience developing high-quality applications using .Net and Microsoft technologies.
Preferred Qualifications
2+ years experience with .NET Core.
3-6 years experience with .Net Framework.
3-6 years experience using Microsoft SQL Server technology and/or AWS RDS.
3+ years experience with Entity Framework or other ORM tools.
3-6 years experience with JavaScript or JavaScript Frameworks (such as Angular, React).
Proven experience in creating Web APIs (RESTful or otherwise).
Experience creating secure applications that handle Personally Identifiable Information (PII).
Experience developing Microservices a plus.
Experience with Cloud Development a plus (Azure, AWS, etc).
Experience with Docker a plus.
Experience with Kubernetes a plus.
Knowledge of SAML and OAuth2 security protocols a plus.
#LI-KN1

#WeDoITBetter",3.2,"DataScan Technologies, LLC
3.2","Alpharetta, GA",-1,201 to 500 Employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),-1
5,Software Developer,"$47K-$84K
(Glassdoor est.)","Contractor Nation in Seymour, Connecticut is seeking a talented in-house software developer to help create revolutionary home improvement apps. As a software developer at Contractor Nation, you will be providing support for our applications, expanding upon existing tools, and creating entirely new software.
Candidates will work with a small team on all parts of the development life cycle; including design, implementation, testing, and deployment.
Our ideal candidate is motivated, an active learner, and enjoys trying to solve challenging problems.
We currently have applications running on PHP, Java, Python, and Node.js, but a deep understanding of any other object-oriented programming language is just as valuable to us.
Skills & Requirements
BS in Computer Science or equivalent experience
Experience with shell and other CLI tools
Experience querying relational or NoSQL databases in complex ways
Experience writing deployed, distributed applications
Excellent written and verbal communication skills
2+ years of industry experience
About Us
We are a team of software developers that specialize in building custom software for ourselves and our clients throughout the home improvement industry.
We have won over 24 innovation prizes, multiple business ethics awards from the Better Business Bureau, and a Tech Top 40 award. We were also awarded the Top 10 Best Places to Work in Connecticut for the last 5 years in a row by Hearst Media. The owner was selected as Business Person of the Year by Business New Haven and as Small Business Person of the Year with the Small Business Association (SBA).
This is a great opportunity for a software developer that wants to be part of a team in a fast-growing, fast-paced team. We offer a unique and creative atmosphere, a casual work environment, and a competitive salary.",3.2,"Basement Systems, Inc.
3.2","Seymour, CT",-1,201 to 500 Employees,1987,Company - Private,Construction,"Construction, Repair & Maintenance",$50 to $100 million (USD),-1
6,Software Developer,-1,"Purpose/Summary:Under direction of the Application Development Manager, focuses on all code development and API integrations relating specifically to digital banking and other open API Digital Dept. systems during the project development stage. Responsible for thorough testing and complete documentation of all software development. Evaluates and modifies existing software as required and ensures completeness and accuracy of testing those solutions and their documentation. Documents, evaluates and updates developer standards around SDLC best practices. Works with Product Owners on expanding the use and efficacy of critical business systems. Manages and assists in implementation of new software integrations and Digital Dept. projects. Development will involve review of all enterprise-wide processes to streamline, reduce inefficiency and improve the member experience. Works closely with the Director of Digital Banking and other Digital Dept. staff on project and system reviews and makes recommendations to Digital Dept. management for implementation.

Essential Duties and Responsibilities:All duties and responsibilities align with Visions Federal Credit Union and are subject to reform at-will of the company. Job Duties include, but are not limited to:
• Ability to design, build, program, test and deploy code via multiple software languages using an Agile methodology. Responsible for working within a fast-paced environment working as part of a team to design, build, and support API integration for our staff and members.• Analyze new and existing systems and make recommendations to Digital Dept. management on methods and techniques to be used. Upon approval by the Application Development Manager, assumes the responsibility to carry out software development and enhancements utilizing modern development languages, ensuring that thorough testing occurs, data integrity is maintained, and documentation standards are strictly adhered to.• Work with staff and internal developers to execute strategic initiatives by analyzing and designing process work flows, building, testing and implementing development solutions and ensuring the quality of the system.• Assist clients and managers in the construction of Business cases and opportunity identification efforts to support the further adoption of development solutions throughout the organization.• Manage cross-functional projects to implement custom solutions to create efficiencies and improve the member experience.• Guide, mentor and motivate teams in the execution of day-to-day tasks and in the development of their development duties.• Document and evaluate Credit Union core business processes, enabling and governing processes and sub-processes.• Work as an advisor to other departments conducting streamlining efforts and evaluation.• Research IT systems, Symitar infrastructure, and other analysis tools to be used in development efforts and Digital Dept. initiatives and make recommendations to Digital Dept. management.• Participate in trainings to enhance skills and abilities in required coding languages, including tools and best practices.• Participate in all required and recommended training including, but not limited to, SDK training and demonstrate attained knowledge. Actively pursues and satisfactorily completes development plans.• Adhere to all Credit Union policies, procedures, and regulatory agency requirements including, but not limited to, training activities. Embrace and apply the Credit Union’s mission, vision and core values to all activities and responsibilities. Support the Credit Union’s initiatives by demonstrating teamwork and professionalism.
• Performs additional duties and special projects as assigned. Must maintain proficiency in: o Building Strategic Work Relationships; Member Focus (UI/UX); Decision Making; Planning and Organizing; Adaptability; Technical/Professional Knowledge; Work Standards• Ability to design technical specification documentation for Digital Dept. Projects; able to create a complete technical architecture for development efforts making sure the architecture is extensible and scalable.• Thorough understanding of technology, quality tools and process design; utilize modern-day solutions when formulating enhancements to existing processes; able to discover and fix errors in code; advanced knowledge of MS Word, Excel, PowerPoint, and Visio.• Must be adaptable to changes in the work environment, comfortable with multiple competing demands and able to deal with frequent change, delays or unexpected events in a calm and logical manner.• All employees must embrace and foster an environment that supports our mission and core competencies.• Perform other job-related duties as assigned.
Standard Essential Physical Functions:The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions. Daily requirements may include (but are not limited to):
• Ability to stand/walk as needed, sitting for majority of day.
• Able to lift/carry up to 20 pounds.
• Manual dexterity for working with papers, files, various office machines, keyboarding, etc.
• Excellent communication skills, both verbal and written.
• Minimal travel may be required for this position.
Essential Knowledge, Skills,& Abilities:Due to the nature of this role in dealing with senior management and employees on an on-going basis, the position requires (and is not limited to):
• Excellent interpersonal and communication skills; Efficient time management and organizational skills; Flexibility (able to adapt to changing environment)• Advanced knowledge of MS Word, Excel, PowerPoint and Visio.• Familiarity with PowerShell, Visual Studio Code and Linux Command Line.• Positively communicate with diverse employee population while providing excellent customer service• Advanced computer and math skills, adherence to confidentiality, detail-oriented
Education& Experience:We pride ourselves in our advocacy for education, growth, and opportunity for experience at Visions Federal Credit Union. This position would minimally require:
• Undergraduate degree in computer science, technology and/or relevant professional certificate(s).• Minimum 1-2 years of demonstrable experience in programming (including scripting /coding), SQL and relational databases, andr application development. One-year experience with one or more development languages (i.e. Python, JavaScript, PHP).• Experience with one or more developer tools (i.e. Visual Studio, Azure DevOps, Git is highly desirable.• Experience with the Software Develoment Life Cycle and Business/Technical requirements, Problem- Solving, and System(s) Testing, including UAT and Bug fixes.• Symitar engineering or other Financial Industry Core platform engineering experience is a plus
Usual Work Environment/Equipment Used:This position operates in a professional office environment, with expectation to use standard office equipment such as computers, phones, photocopiers, filing cabinets and fax machines, PCs, Microsoft Office, etc. Software Developer March 2020

Disclaimer:The preceding job description has been designed to indicate the general nature and essential duties and responsibilities of work performed. It may not contain a comprehensive inventory of all duties, responsibilities and qualifications required to perform work. Management retains the right to add or remove responsibilities at its discretion. The above job description does not constitute a contract of employment and Visions FCU may exercise its employment-at-will rights at any time. Employees are equally subjected to all policies and procedures of the company per the employee handbook.

EEOC& Affirmative Action Statement:Equal Employment Opportunity for all persons is a fundamental goal and policy of Visions Federal Credit Union. Visions recognizes and reaffirms Title VII of the Federal Civil Rights Act of 1964, New York’s Human Rights Law and Credit Union regulations that there shall be no discrimination against qualified applicants or employees on the basis, of race, color, national origin, religion, creed, age, handicap, disability, marital status, predisposing genetic characteristics, sexual orientation, or any other class protected by federal, state, or local law law. It is the duty of Visions Federal Credit Union to provide reasonable accommodations to qualified individuals with disabilities under the Americans with Disabilities Act (ADA).",4.1,"Visions Federal Credit Union
4.1","Endicott, NY",-1,501 to 1000 Employees,1966,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD),-1
7,Software Engineer,-1,"Valens Software is a developer of enterprise services software for the Fire and Life Safety industry.

We are looking for developers who want to make a career on futuristic technology, software development, implementing software solutions, developing apps.

New college graduates are welcome to apply. We have multiple openings at the Woodstock Georgia (metro Atlanta) office and no prior work experience is required. We will provide on the job training after you are hired.

Primary Responsibilities

·
Develop software applications using JavaScript, and different frameworks associated with programming languages

·
Write queries to different databases so the application can manipulate the data accordingly

·
Generate reports and dashboards to meaningfully inform user on key information

·
Perform unit tests and do functional testing on what you develop

·
Participate in peer to peer code reviews, project planning, and estimation of tasks

·
Analyzing and resolving application or system problems

·
Write and implement efficient code based on requirements for tasks

Required Qualifications

·
Bachelor’s degree in Computer Science or Similar

·
Adaptable to decisions made quickly by peers

·
Collaborative and a great team player

·
Punctual to deadlines set by project owners when it comes to tasks

·
Previous knowledge of programming languages like Java, JavaScript, Progress, LUA, SQL (preferred but not required)

·
Previous knowledge of JasperReports (a bonus but not required)

·
Ability to learn quickly and talk about solutions to project owners

·
Transparent on issues happening through the development process

Benefits

·
Job Type: Full-time

·
Paid Time Off

·
401 K

·
Health Insurance

·
Dental insurance

·
Vision insurance

·
HAS

·
FSA

This Job Is:

·
A job for which military experienced candidates are encouraged to apply

·
A good job for someone just entering the workforce or returning to the workforce with limited experience

·
Not providing sponsorship for this job

Principles only. Recruiters please do not contact this job poster.
Do not contact us with unsolicited services or offer.",-1,Valens Software LLC,"Woodstock, GA",-1,1 to 50 Employees,-1,Unknown,-1,-1,Less than $1 million (USD),-1
8,"Senior Software Engineer, Emerging Technologies",-1,"Overview


ACT is a nonprofit organization helping people achieve educational and workplace success. Our programs are designed to boost lifelong learning in schools and workplaces around the world. Whether it's guiding students along their learning paths, enabling companies to develop their workforce, fostering parent, teacher, and counselor understanding of student progress, guiding job seekers toward career success, or informing policymakers about education and workforce issues. ACT is passionate about making a difference in all we do.

Learn more about working at ACT at act.org!

Responsibilities


This is an opportunity to join ACT’s Strategy at building classroom solutions and migrating some awesome content and monetizing a new channel for ACT. Emerging Technology is responsible for the development, hosting, and production support of all the Learning Business Unit products. The upcoming FY21 is going to be busy and challenging with a real focus on our new acquisition of Scootpad, SimplyAdaptive, and edNexus which was announced by ACT Monday, May 18, 2020. Emerging Technology is looking for top talent in developers, architects, and leaders to help deliver outstanding and on time results for ACT. Are you built for Emerging Technology at ACT?

The Senior Software Engineer is responsible for the engineering of ACT’s next generation products and services, including development in both container and serverless computing environments using Java and node.js in a micro-service architecture. ACT also utilizes AngularJS and other modern JavaScript frameworks and tools for front-end services integrating with Bitbucket for source control and CircleCI for builds in a continuous integration deployment model. This role will engage in the Agile process and ensure product quality, robustness, scalability, and consistency.

Typical work-related activities include:
Independently design, create, maintain, and enhance solutions with reusable components that can be leveraged by multiple teams
Collaborate with Scrum team to support all SDLC activities, including: activity in consideration of product scalability, reliability, consistency, and performance, as well as leveraging static code analysis tools, and how we support production monitoring
Actively participate in process improvement and technology selection discussions and decisions within area of expertise
Recommend tools and standards to ensure software quality and performance standards
Actively participate in team success through mentoring, coaching, and advising other team members; support junior team members to proactively anticipate and resolve issues across Scrum teams
Actively participate in design/architectural discussions, grooming user stories, sprint demos, and daily Scrums to help establish a Behavior-Driven Development (BDD) approach
Recommend product, infrastructure, or design changes to ensure quality and performance standards
Qualifications


Education:
Bachelor's degree in Computer Science, Mathematics, Statistics, Information systems or a related area required
Or an equivalent combination of education and experience from which comparable knowledge and abilities can be acquired
Experience:

Required
Minimum five years of progressive IT experience
Expertise in Java, Javascript, HTML, CSS
Expertise in unit test development
Experience in one or more of the following: container and/or serverless computing using Java and/or node.js
Experience in architecting software solutions, and technical design in continuous integration environment
Experience working in a micro-service architecture
Experience with AWS solutions
Experience with AngularJS
Preferred
Experience working in an Agile development environment
Experience with Security testing and authentication technology OAuth2
Familiarity with IMS Standards such as LTI, Common Cartridge, and Caliper
Experience working with open source community
Expertise in a static code analysis tool such as SonarQube, HPFortify, and/or Crucible
Expertise in a production monitoring solution such as NewRelic, Tivoli, App Dynamics, SCOM and synthetic transaction scripting
Knowledge, Skills and Abilities:

Required
Demonstrated ability to lead teams in integrating code into automated deployment pipelines
Strong knowledge of how to write/test RESTful API’s
Strong knowledge of version control such as Git
Demonstrated relational and no-SQL database skills (MongoDB, MySQL)
Demonstrated ability to use JSON and XML
Strong communication and collaboration skills
Demonstrated success in new technology implementation
Demonstrated ability to develop innovative solutions to technical issues
Results-oriented and able to work across the organization
Preferred
Demonstrated ability to support, mentor, coach, and advise other team members
Demonstrated ability to lead technical professionals and influence product stakeholders
Ability to lead team through changes in a rapidly transforming organization",2.9,"ACT, Inc.
2.9",United States,-1,1001 to 5000 Employees,1959,Nonprofit Organization,K-12 Education,Education,$100 to $500 million (USD),-1
9,Android Software Engineer/Developer,"Employer Provided Salary:
$98K-$121K","An automotive OEM in the metro Detroit area is seeking an Android Developer to work with current and future products.


The Software Engineer will be responsible for application development and support including story elaboration, estimation, analysis, design, programming, unit/integration testing and code debugging leveraging the Scrum framework. This person will work in a highly collaborative, cross-functional, and Agile environment and will assume a lead role for various practices and decisions.



Experience with Android UI design (including custom views)
* Experience writing Android clients for Web Services (REST, RPC, and/or SOAP)
* Experience with Android Activities and Fragments
* Experience with multi-threaded development on Android platforms
* Firm understanding of Intents, ContentProviders, Services, BroadcastReceivers, AsyncTask, Handlers and AIDL
* Experience with SQL Lite on Android
* Proven experience with object-oriented design and design patterns",3.4,"Aerotek
3.4",Remote,-1,5001 to 10000 Employees,1983,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
